date_published,quarter,signal,IEF,TIP,GLD,FXY,FXF,LMT,CVX,SLV,zmp_return,spy_return,r6040_return,notes
2022-01-01,2022-Q1,Expansion,0.25,0.25,0.10,0.00,0.00,0.1521,0.0597,0.1882,+6.49%,-4.61%,-1.12%,Backtest
2022-04-01,2022-Q2,Expansion,0.10,0.25,0.25,0.00,0.00,0.2387,0.0959,0.0654,-7.67%,-16.11%,-11.59%,Backtest
2022-07-01,2022-Q3,Protection,0.125,0.2447,0.1553,0.125,0.00,0.0779,0.1572,0.1149,-7.36%,-4.93%,-4.76%,Backtest — BAA-AAA > 1.30 + GLI decel
2022-10-01,2022-Q4,Expansion,0.00,0.25,0.25,0.00,0.00,0.2500,0.2500,0.0000,+17.93%,+7.56%,+5.27%,Backtest
2023-01-01,2023-Q1,Protection,0.125,0.2447,0.1553,0.125,0.00,0.0713,0.1572,0.1215,+0.35%,+7.46%,+5.76%,Backtest — hystérésis Protection
2023-04-01,2023-Q2,Expansion,0.00,0.25,0.25,0.00,0.00,0.1879,0.2500,0.0621,-2.73%,+8.68%,+4.78%,Backtest
2023-07-01,2023-Q3,Expansion,0.00,0.25,0.25,0.00,0.00,0.1238,0.2500,0.1262,-1.17%,-3.22%,-3.20%,Backtest
2023-10-01,2023-Q4,Expansion,0.00,0.25,0.25,0.00,0.00,0.2500,0.2500,0.0000,+4.34%,+11.64%,+9.69%,Backtest
2024-01-01,2024-Q1,Expansion,0.00,0.25,0.25,0.00,0.00,0.2500,0.2500,0.0000,+3.91%,+10.39%,+5.86%,Backtest
2024-04-01,2024-Q2,Expansion,0.00,0.25,0.25,0.00,0.00,0.2500,0.2500,0.0000,+2.24%,+4.38%,+2.64%,Backtest
2024-07-01,2024-Q3,Expansion,0.00,0.25,0.25,0.00,0.00,0.2500,0.2500,0.0000,+9.24%,+5.75%,+5.57%,Backtest
2024-10-01,2024-Q4,Expansion,0.00,0.25,0.25,0.00,0.00,0.2500,0.2500,0.0000,-4.83%,+2.49%,+0.25%,Backtest
2025-01-01,2025-Q1,Expansion,0.00,0.25,0.25,0.00,0.00,0.0399,0.2500,0.2101,+9.80%,-4.27%,-1.47%,Backtest
2025-04-01,2025-Q2,Expansion,0.00,0.25,0.25,0.00,0.00,0.2500,0.0000,0.2500,-1.61%,+10.78%,+6.95%,Backtest
2025-07-01,2025-Q3,Expansion,0.0751,0.25,0.25,0.00,0.00,0.0993,0.0755,0.2500,+12.15%,+8.12%,+5.67%,Backtest
2025-10-01,2025-Q4,Expansion,0.10,0.25,0.25,0.00,0.00,0.0760,0.0740,0.2500,+17.21%,+3.43%,+2.43%,Backtest
